id,col,idx,size,price,fees,side
0,0,1201,1295.8644494685109,771.3000000000001,499.75012493750546,0
1,0,1202,2590.433682095974,780.8000000000001,1011.3053094902682,1
2,0,1501,2496.0951441154607,809.5,1010.2945095805917,0
3,0,1502,2401.850897527232,813.3000000000001,976.712667479449,1
4,0,1743,2454.0655003124925,795.2,975.7364429242443,0
5,0,1751,2506.2279145892217,795.7,997.1027758193219,1
6,0,1828,2750.914585323776,724.2,996.106171345571,0
7,0,1830,2995.356691669791,728.4000000000001,1090.908907106138,1
8,0,1833,3009.7170488287616,724.2,1089.818543380592,0
9,0,1834,3024.063052807163,727.2,1099.5493260006845,1
10,0,1835,3033.555167563095,724.2,1098.4503261744976,0
11,0,1836,3043.0377949479566,728.4000000000001,1108.274364920046,1
12,0,2597,3196.208557781115,692.8000000000001,1107.1666444153525,0
13,0,2605,3349.226226398548,700.5,1173.0664857960915,1
