id,col,idx,size,price,fees,side
0,0,201,711.5400084538069,1404.7,499.75012493750546,0
1,0,204,1422.3688324913683,1413.4,1005.1880539216501,1
2,0,209,1429.747801253768,1404.7,1004.183368210448,0
3,0,211,1437.119394735046,1407.1000000000001,1011.0853501658416,1
4,0,212,1438.135929530442,1404.7,1010.074770105537,0
5,0,216,1439.151448299056,1413.4,1017.048328512943,1
6,0,218,1446.6174819597911,1404.7,1016.0317884543911,0
7,0,220,1454.0760533180166,1413.4,1027.5955468798425,1
8,0,1427,1423.5158633765034,1442.3000000000002,1026.5684648738243,0
9,0,1429,1392.9862183524729,1441.6000000000001,1004.0644661884626,1
10,0,1638,1410.675625488526,1422.1000000000001,1003.0609035035595,0
11,0,1640,1428.3473520577268,1420.0,1014.126619960986,1
12,0,1648,1424.812601295169,1422.1000000000001,1013.11300015077,0
13,0,1650,1421.2813835168818,1420.5,1009.4651026428653,1
14,0,2526,1451.0160316842212,1390.0,1008.4561420204118,0
15,0,2530,1480.7209600632873,1390.2,1029.249139339991,1
16,0,2531,1479.4538195223556,1390.0,1028.2204045678955,0
17,0,2532,1478.1879454887112,1390.0,1027.3406221146543,1
18,0,2533,1476.710496267833,1390.0,1026.3137949060183,0
19,0,2535,1475.2345237578202,1389.5,1024.9191853807456,1
20,0,2536,1473.229896976771,1390.0,1023.8947783987969,0
21,0,2539,1471.2272738206902,1390.7,1023.0178848512171,1
22,0,2540,1470.4969470786787,1390.0,1021.9953782195225,0
23,0,2548,1469.7673502984285,1398.7,1027.881796431206,1
24,0,2549,1477.4883860702605,1390.0,1026.8544283187948,0
25,0,2550,1485.2017046649091,1409.9,1046.9929417035278,1
