id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,1279.9337301511875,451,780.9000000000001,499.75012493753127,452,771.1,493.47844965975247,11550.121980884454,0.011555897041874897,1,1,0
1,0,1311.1718320335156,452,771.1,505.5222998404831,459,778.2,510.17695984424097,8293.620747753233,0.00820302165737262,0,1,1
2,0,1309.861315459769,459,778.2,509.6670378453962,460,771.1,505.01703017544475,8285.331271743577,0.008128180416345537,1,1,2
3,0,1332.6614788836698,460,771.1,513.8076331835287,462,776.0,517.072653806864,5499.160959539508,0.0053513811438205055,0,1,3
4,0,1331.329483402527,462,776.0,516.5558395601805,463,771.1,513.2940823257314,5493.664546786425,0.005317590206185632,1,1,4
5,0,1346.9103854332818,463,771.1,519.3012991036875,470,772.5,520.2441363736051,846.1291041292599,0.0008146803268059313,0,1,5
6,0,1345.5641481664823,470,772.5,519.7241522293037,471,771.1,518.7822573254766,845.2833978782492,0.0008132038834952082,1,1,6
7,0,1349.1027952613174,471,771.1,520.14658271289,475,780.9000000000001,526.7571864097815,12174.303624438353,0.011702762287641248,0,1,7
8,0,1347.754366680347,475,780.9000000000002,526.2306924703414,710,783.8000000000001,528.1849363020465,-4962.903292145274,-0.004715520553207739,1,1,8
9,0,1336.4390939781545,710,783.8000000000001,523.7504809300572,711,781.8000000000001,522.4140418360606,-3719.0427107224064,-0.0035503955090584313,0,1,9
10,0,1335.1033227697806,711,781.8000000000001,521.8918888707072,713,783.8000000000001,523.2269921934582,-3715.3255266037777,-0.0035594781273983423,1,1,10
11,0,1326.9588019255,713,783.8000000000001,520.0351544745848,714,782.1,518.9072394929668,-3294.7723572409204,-0.003167836182699668,0,1,11
12,0,1325.632506271402,714,782.1,518.3885915774318,715,783.8000000000001,519.5153792077178,-3291.479231446576,-0.003174721902570002,1,1,12
13,0,1318.5600265891474,715,783.8000000000001,516.7436744202425,719,785.0,517.5348104362403,547.993547050393,0.0005302373054350051,0,1,13
14,0,1317.2421255130964,719,785.0,517.0175342638903,720,783.8000000000001,516.227188988507,547.4458273632644,0.0005294267515923775,1,1,14
15,0,1319.956928768848,720,783.8000000000001,517.2911203844359,725,786.5,519.0730622383495,2527.519525052948,0.002443033937228807,0,1,15
16,0,1318.6376314887195,725,786.5,518.5542485829388,1829,814.0,536.6855160158435,-37317.77463053842,-0.035982517482517275,1,1,16
17,0,1228.2670418892787,1829,814.0,499.90468604887553,1838,817.8000000000001,502.23839342852614,3665.271679701943,0.003665970515970662,0,1,17
18,0,1227.0393886739973,1838,817.8000000000001,501.73640602879755,1839,814.0,499.405031190238,3661.6082397423,0.0036489361702129897,1,1,18
19,0,1237.2636245800516,1839,814.0,503.56629520400145,1845,817.8000000000001,505.9170960907831,3692.118382109499,0.003665970515970682,0,1,19
20,0,1236.0269792781226,1845,817.8000000000001,505.4114318268244,1928,796.0,491.9387377526767,25948.03797868371,0.025670212765957597,1,1,20
21,0,1302.4597162024,1928,796.0,518.3789670485382,1929,796.5,518.7045819776057,-385.85369092491476,-0.0003721733668341263,0,1,21
22,0,1301.1579073906034,1929,796.5,518.1861366183078,1933,796.0,517.860847141395,-385.46803006445214,-0.0003719397363465024,1,1,22
23,0,1301.491203321919,1933,796.0,517.9934989220587,1935,796.0,517.9934989221239,-1035.9869978441825,-0.0009999999999999371,0,1,23
24,0,1300.190362538989,1935,796.0,517.4757642905175,1936,796.0,517.4757642905131,-1034.9515285810307,-0.0009999999999999957,1,1,24
25,0,1298.8908219467455,1936,796.0,516.9585471348003,1945,798.0,518.2574379567515,1562.565658801902,0.0015113065326632848,0,1,25
26,0,1297.5925802456493,1945,798.0,517.7394395180141,1946,796.0,516.4418469377404,1561.0038740356283,0.0015075187969925896,1,1,26
27,0,1302.8129432137973,1946,796.0,518.5195513990632,1950,797.6,519.5618017536624,1046.419355989461,0.0010090452261307874,0,1,27
28,0,1301.5107813515149,1950,797.6,519.0424996029842,3353,907.05,0.0,-142969.39751852604,-0.1377241725175524,1,0,28
