id,col,idx,size,price,fees,side
0,0,726,1313.403744908098,761.0,499.75012493750546,0
1,0,730,2625.494742444974,783.4000000000001,1028.4062906156964,1
2,0,731,2700.074634090021,761.0,1027.3783982710447,0
3,0,738,2774.5799831147324,770.0,1068.213293499172,1
4,0,739,2804.5876847448085,761.0,1067.1456140452065,0
5,0,745,2834.565393669608,772.2,1094.4256984958358,1
6,0,746,2873.408199045255,761.0,1093.3318197363988,0
7,0,750,2912.212181027223,778.3000000000001,1133.2873702467439,1
8,0,1251,2710.124833601441,835.5,1132.1546492367052,0
9,0,1259,2508.2394725299077,841.5,1055.3417580669588,1
10,0,1260,2523.726974784123,835.5,1054.286943715997,0
11,0,1262,2539.1989972759648,842.8000000000001,1070.0184574520918,1
12,0,1263,2558.8245930257267,835.5,1068.94897373626,0
13,0,1267,2578.4305729876332,845.3000000000001,1089.7736816732233,1
14,0,1269,2606.066912282666,835.5,1088.6844526058994,0
15,0,1273,2633.675629049668,841.5,1108.119020922648,1
16,0,1937,2774.4648012138955,798.0,1107.0114556844346,0
17,0,1938,2915.1132545653654,792.0,1154.3848488078847,1
18,0,1941,2890.303360559021,798.0,1153.2310408628546,0
19,0,1949,2865.5182640479343,810.0,1160.5348969394133,1
