id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,448.30690732229766,251,2229.5,499.7501249375313,253,2220.0,497.6206671277121,3261.5448274965543,0.003263175599910302,1,1,0
1,0,451.69376790320905,253,2220.0,501.3800823725234,254,2229.5,503.52562777010235,3286.185084937901,0.003277139639639719,0,1,1
2,0,451.2422998693229,254,2229.5,503.02235377932766,256,2220.0,500.8789528549366,3282.90054212433,0.003263175599910332,1,1,2
3,0,454.651336698569,256,2220.0,504.6629837353997,257,2229.5,506.8225775847299,3307.702137316307,0.003277139639639682,0,1,3
4,0,454.1969125739329,257,2229.5,506.31600829179166,258,2220.0,504.15857295695724,3304.396088203608,0.0032631755999103953,1,1,4
5,0,457.62827085559866,258,2220.0,507.96738064960545,261,2223.4,508.7453487101691,539.223391549282,0.0005307657657658938,0,1,5
6,0,457.17087128452863,261,2223.4,508.2368576070105,265,2220.0,507.4596671257462,538.6844376347622,0.0005299541243143123,1,1,6
7,0,458.11357227209044,265,2220.0,508.50606522193965,266,2229.5,510.6821046903128,3332.8907666726236,0.003277139639639736,0,1,7
8,0,457.65568764213344,266,2229.5,510.1716777990682,1353,2191.0,501.3618058119322,16608.210490611218,0.016277080062794453,1,1,8
9,0,473.2739690248652,1353,2191.0,518.4716330667139,1355,2190.4,518.3296508760324,-1320.7656653575611,-0.0012737106344133842,0,1,9
10,0,472.80093157456554,1355,2190.4,517.8115802604642,1356,2191.0,517.9534205399342,-1319.4455597451015,-0.0012740595325054411,1,1,10
11,0,472.06954557474523,1356,2191.0,517.1521871771309,1357,2184.9,515.7123750631305,-3912.488790246141,-0.00378272478320395,0,1,11
12,0,471.5977119459849,1357,2184.9,515.1969204153912,1361,2191.0,516.6352934367205,-3908.5782567225624,-0.0037932857339007067,1,1,12
13,0,468.5016959774222,1361,2191.0,513.2436079431609,1367,2196.7000000000003,514.5788377768017,1642.6372213515046,0.0016002510269286022,0,1,13
14,0,468.0334284152259,1367,2196.7000000000003,514.0645160998633,1368,2191.0,512.7306208287963,1640.9954050382516,0.001596098693494989,1,1,14
15,0,469.9996383008245,1368,2191.0,514.8846037584691,1370,2207.5,518.7621007745349,6721.347327430633,0.006527042446371634,0,1,15
16,0,469.52987354490165,1370,2207.5,518.2435979251852,1371,2191.0,514.3699764684272,6714.629339097248,0.00647825594563986,1,1,16
17,0,476.1289226620796,1371,2191.0,521.5992347762956,1374,2207.5,525.5272983882703,6809.000690759818,0.0065270424463716,0,1,17
18,0,475.6530316849062,1374,2207.5,525.0020337222152,3353,2192.0,0.0,6847.619957393873,0.006521517553793925,1,0,18
