id,col,idx,size,price,fees,side
0,0,251,1040.9292333629062,960.2,499.75012493750546,0
1,0,263,2080.8180576969644,959.0,997.7522586656944,1
2,0,264,2076.14039790428,960.2,996.7550050336868,0
3,0,268,2071.4674134337265,959.4000000000001,993.6829182241587,1
4,0,269,2067.6728429475047,960.2,992.6897318989504,0
5,0,271,2063.8820651354317,960.0,990.6633912650072,1
6,0,272,2061.389758295971,960.2,989.6732229578774,0
7,0,277,2058.89994251782,958.1,986.3160174631616,1
8,0,1080,2009.6475512079369,980.6,985.3301943570841,0
9,0,1086,1960.444387675475,980.7,961.3039054966691,1
10,0,1087,1958.6846461409737,980.6,960.3430820028298,0
11,0,1091,1956.926663468576,979.8000000000001,958.6983724332555,1
12,0,1627,1915.4803063409072,1000.0,957.7401531704236,0
13,0,1628,1874.075374857544,998.0,935.1636120539144,1
14,0,1751,1884.6659588258876,991.4000000000001,934.2289157898631,0
15,0,1752,1895.2459575029084,989.4000000000001,937.5781751766889,1
16,0,1753,1889.5321072348643,991.4000000000001,936.6410655563232,0
17,0,1754,1883.8239679615908,986.5,929.1961721970547,1
18,0,1876,1848.7700465858609,1004.2,928.2674403907731,0
19,0,1879,1813.7511616133052,1003.0,909.5962075490726,1
