id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,5356.378616693796,451,186.60000000000002,499.75012493750546,460,189.20000000000002,506.7134171392332,12920.120861327063,0.012926580921757726,0,1,0
1,0,5351.024914927985,460,189.20000000000002,506.20695695218757,461,186.60000000000002,499.2506245627315,12907.207197297868,0.012748942917547641,1,1,1
2,0,5494.719564433351,461,186.60000000000002,512.6573353615809,463,189.8,521.448886664725,16548.99638416045,0.016140407288317338,0,1,2
3,0,5489.227590855707,463,189.8,520.9276983722066,464,186.60000000000002,512.144934226732,16532.455658139294,0.01586828240252905,1,1,3
4,0,5671.916346761905,464,186.6,529.1897951527767,468,189.70000000000002,537.9812654903668,16515.76961431887,0.015604769560557548,0,1,4
5,0,5666.247264956047,468,189.70000000000005,537.4435530810812,469,186.60000000000002,528.6608698202741,16499.262098462492,0.015349762783342328,1,1,5
6,0,5848.757356657713,469,186.60000000000002,545.6890613760355,475,191.8,560.8958305034747,29306.95336274053,0.026853161843515595,0,1,6
7,0,5842.911522218276,475,191.8,560.3352149807328,501,185.8,542.8064804139685,33954.32743791508,0.030298227320125336,1,1,7
8,0,6214.250746609262,501,185.8,577.303894359884,507,186.9,580.7217322706356,5677.650194639576,0.004917384284176553,0,1,8
9,0,6208.03960143524,507,186.90000000000003,580.1413007541232,508,185.8,576.726878973187,5671.975381851465,0.004888443017656636,1,1,9
10,0,6275.305394616214,508,185.8,582.9758711596978,510,186.60000000000002,585.4859933176929,3851.782451215531,0.0033035522066739275,0,1,10
11,0,6269.0332253062525,510,186.6,584.9007999210735,511,185.8,582.393186630879,3847.932593693002,0.0032893890675241367,1,1,11
12,0,6316.725562061602,511,185.8,586.8238047154505,512,187.0,590.6138400527598,6402.633029705676,0.005455328310010794,0,1,12
13,0,6310.41199328393,512,187.0,590.0235213720475,513,185.8,586.2372741760905,6396.233596392396,0.0054203208556148075,1,1,13
14,0,6385.576317663875,513,185.8,593.2200399109875,515,186.60000000000002,595.7742704380396,3919.466743782128,0.003303552206673878,0,1,14
15,0,6379.193932538773,515,186.60000000000002,595.1787939058677,516,185.8,592.6271163328832,3915.549235792377,0.003289389067524181,1,1,15
16,0,6427.724328586156,516,185.8,597.1355901256853,520,186.8,600.349452289947,5230.2392861705,0.004379440258342257,0,1,16
17,0,6421.299816513604,520,186.80000000000004,599.7494028623706,521,185.8,596.5387529541007,5225.011660697196,0.004355995717344817,1,1,17
18,0,6483.96774050166,521,185.79999999999998,602.3606030925908,525,191.0,619.2189192179085,32495.05272829815,0.026973089343380004,0,1,18
19,0,6477.487013124847,525,191.0,618.6000097534229,1131,205.9,666.8572880011039,-97800.01379331463,-0.07904947643979039,1,1,19
20,0,5533.991652659751,1131,205.9,569.7244406412368,1132,205.20000000000002,567.7875435628904,-5011.306141065851,-0.004398008742107656,0,1,20
21,0,5528.46042662011,1132,205.2,567.2200397712235,3353,227.45,0.0,-123575.46453206852,-0.10893079922027277,1,0,21
