id,col,idx,size,price,fees,side
0,0,251,448.30690732229766,2229.5,499.7501249375313,1
1,0,253,900.0006752255067,2220.0,999.0007495002355,0
2,0,254,902.9360677725319,2229.5,1006.54798154943,1
3,0,256,905.8936365678919,2220.0,1005.5419365903363,0
4,0,257,908.8482492725019,2229.5,1013.1385858765216,1
5,0,258,911.8251834295315,2220.0,1012.1259536065627,0
6,0,261,914.7991421401273,2223.4,1016.9822063171796,1
7,0,265,915.2844435566191,2220.0,1015.9657323476858,0
8,0,266,915.7692599142239,2229.5,1020.853782489381,1
9,0,1353,930.9296566669987,2191.0,1019.8334388786461,0
10,0,1355,946.0749005994307,2190.4,1036.1412311364966,1
11,0,1356,944.8704771493108,2191.0,1035.1056077170651,0
12,0,1357,943.6672575207301,2184.9,1030.9092954785217,1
13,0,1361,940.099407923407,2191.0,1029.8789013798814,0
14,0,1367,936.5351243926481,2196.7000000000003,1028.643353876665,1
15,0,1368,938.0330667160504,2191.0,1027.6152245872654,0
16,0,1370,939.5295118457261,2207.5,1037.0056986997201,1
17,0,1371,945.6587962069813,2191.0,1035.9692112447228,0
18,0,1374,951.7819543469858,2207.5,1050.5293321104855,1
