id,col,idx,size,price,fees,side
0,0,451,5356.378616693796,186.60000000000002,499.75012493750546,0
1,0,460,10707.403531621781,189.20000000000002,1012.9203740914207,1
2,0,461,10845.744479361336,186.60000000000002,1011.9079599243123,0
3,0,463,10983.947155289057,189.8,1042.3765850369316,1
4,0,464,11161.143937617611,186.60000000000002,1041.3347293795086,0
5,0,468,11338.163611717951,189.70000000000002,1075.424818571448,1
6,0,469,11515.00462161376,186.60000000000002,1074.3499311963096,0
7,0,475,11691.66887887599,191.8,1121.2310454842075,1
8,0,501,12057.162268827538,185.8,1120.1103747738525,0
9,0,507,12422.290348044502,186.9,1160.8630330247588,1
10,0,508,12483.344996051454,185.8,1159.7027501328848,0
11,0,510,12544.338619922466,186.60000000000002,1170.3867932387664,1
12,0,511,12585.758787367855,185.8,1169.2169913463295,0
13,0,512,12627.137555345533,187.0,1180.6373614248073,1
14,0,513,12695.988310947805,185.8,1179.457314087078,0
15,0,515,12764.770250202648,186.60000000000002,1190.9530643439073,1
16,0,516,12806.918261124929,185.8,1189.7627064585686,0
17,0,520,12849.02414509976,186.8,1200.0988551523176,1
18,0,521,12905.267557015264,185.8,1198.8993560466915,0
19,0,525,12961.454753626507,191.0,1237.8189289713314,1
20,0,1131,12011.478665784598,205.9,1236.5817286423407,0
21,0,1132,11062.452079279861,205.20000000000002,1135.0075833341139,1
