id,col,idx,size,price,fees,side
0,0,451,1279.9337301511875,780.9000000000001,499.75012493753127,1
1,0,452,2591.105562184703,771.1,999.0007495002355,0
2,0,459,2621.0331474932846,778.2,1019.8439976896371,1
3,0,460,2642.522794343439,771.1,1018.8246633589733,0
4,0,462,2663.990962286197,776.0,1033.6284933670445,1
5,0,463,2678.239868835809,771.1,1032.595381429419,0
6,0,470,2692.474533599764,772.5,1039.9682886029088,1
7,0,471,2694.6669434277997,771.1,1038.9288400383666,0
8,0,475,2696.8571619416643,780.9000000000001,1052.987878880123,1
9,0,710,2684.1934606585014,783.8000000000001,1051.9354172321036,0
10,0,711,2671.542416747935,781.8000000000001,1044.3059307067679,1
11,0,713,2662.0621246952805,783.8000000000001,1043.262146668043,0
12,0,714,2652.591308196902,782.1,1037.2958310703987,1
13,0,715,2644.1925328605494,783.8000000000001,1036.2590536279604,0
14,0,719,2635.802152102244,785.0,1034.5523447001306,1
15,0,720,2637.1990542819444,783.8000000000001,1033.518309372943,0
16,0,725,2638.5945602575675,786.5,1037.6273108212883,1
17,0,1829,2546.9046733779983,814.0,1036.590202064719,0
18,0,1838,2455.306430563276,817.8000000000001,1003.9747994573237,1
19,0,1839,2464.303013254049,814.0,1002.9713263942394,0
20,0,1845,2473.290603858174,817.8000000000001,1011.3285279176075,1
21,0,1928,2538.4866954805225,796.0,1010.3177048012149,0
22,0,1929,2603.6176235930034,796.5,1036.8907185959135,1
23,0,1933,2602.6491107125225,796.0,1035.8543460634537,0
24,0,1935,2601.681565860908,796.0,1035.4692632126414,1
25,0,1936,2599.0811844857344,796.0,1034.4343114253134,0
26,0,1945,2596.483402192395,798.0,1035.9968774747656,1
27,0,1946,2600.4055234594466,796.0,1034.9613983368035,0
28,0,1950,2604.323724565312,797.6,1038.6043013566466,1
