id,col,idx,size,price,fees,side
0,0,1126,8996.401889064467,111.10000000000001,499.75012493750546,0
1,0,1128,17983.81187219284,110.9,997.2023683130931,1
2,0,1129,17933.495306872876,111.10000000000001,996.2056642966345,0
3,0,1131,17883.22903297252,111.2,994.3075342332721,1
4,0,1132,17881.435168395197,111.10000000000001,993.3137236041948,0
5,0,1138,17879.64309678597,111.2,994.1081561812999,1
6,0,1139,17877.84959191348,111.10000000000001,993.1145448307507,0
7,0,1143,17876.05787964956,111.0,992.1212123205507,1
8,0,1144,17842.116776254363,111.10000000000001,991.1295869208407,0
9,0,1147,17808.20959700049,111.0,988.3556326335272,1
10,0,1148,17774.39731650305,111.10000000000001,987.3677709316835,0
11,0,1150,17740.61883138842,110.4,979.2821594926407,1
12,0,1832,18167.193439731283,107.7,978.303366729524,0
13,0,1834,18593.341686646516,107.0,994.7437802355886,1
14,0,1847,18454.03033572296,107.7,993.7495335785206,0
15,0,1853,18314.858226529464,108.5,993.5810587892234,1
16,0,1984,18364.254843158047,108.10000000000001,992.5879742726684,0
17,0,1991,18413.602087855965,108.0,994.3345127442221,1
18,0,1992,18378.18085384412,108.10000000000001,993.3406751502771,0
19,0,1999,18342.795023364517,107.2,983.1738132523382,1
