id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,858.0137778994441,451,1164.9,499.75012493753127,454,1157.7,496.66127533705503,5181.287800601471,0.005183878444501772,1,1,0
1,0,867.8232256426003,454,1157.7,502.3394741631805,456,1157.5,502.2526918406549,-1178.156811132393,-0.0011726699490368822,0,1,1
2,0,866.9558361117232,456,1157.5,501.75069014965976,457,1157.7,501.8373857332222,-1176.9792431052877,-0.0011728725701943966,1,1,2
3,0,865.7899190219729,457,1157.7,501.1624946258202,460,1161.4,502.7642059760597,2199.495999779492,0.002194394057182465,0,1,3
4,0,864.9245617815712,460,1161.4,502.2616930265585,461,1157.7,500.6615825872068,2197.2976029779957,0.0021874031341484446,1,1,4
5,0,869.5858906075351,461,1157.7,503.35979277811566,465,1159.3,504.0554614906577,383.9221707032048,0.000381359592295046,0,1,5
6,0,868.7167392925852,465,1159.3,503.551657930947,466,1157.7,502.85668453941184,383.5384403976475,0.0003808332614508469,1,1,6
7,0,870.2484776962148,466,1157.7,503.74333131435264,467,1160.9,505.13572887876796,1775.9160684349085,0.0017627191845903769,0,1,7
8,0,869.3786641253042,467,1160.9,504.6308455915329,468,1157.7,503.2398397288781,1774.1410398806279,0.0017578602808167262,1,1,8
9,0,873.3134193623044,468,1157.7,505.51747279781546,469,1164.9,508.66140110757425,5273.677745503313,0.005216118165327969,0,1,9
10,0,872.4405423814327,469,1164.9,508.1529939100655,470,1157.7,505.01220795747827,5268.406703278809,0.005183878444501724,1,1,10
11,0,882.41492756025,470,1157.7,510.7858808182366,471,1164.9,513.9625745574676,5328.639023058078,0.005216118165327801,0,1,11
12,0,881.5329536196604,471,1164.9,513.4488688357712,473,1157.7,510.27535020264105,5323.313047023229,0.005183878444501855,1,1,12
13,0,891.6112899647622,473,1157.7,516.1091951960022,475,1170.0,521.592604629386,9929.117066741133,0.009619201865768378,0,1,13
14,0,890.720124257651,475,1170.0,521.0712726907259,1003,1157.0,515.2815918830211,10543.008750775676,0.010116666666666657,1,1,14
15,0,909.8360287487357,1003,1157.0,526.3401426311129,1004,1165.7,530.2979293562006,6858.935378126799,0.006515687121867033,0,1,15
16,0,908.9266474106561,1004,1165.7,529.7678964433009,1576,1161.9,528.0409358131005,2396.1124279039927,0.0022614737925710075,1,1,16
17,0,913.9605025019542,1576,1161.9,530.9653539283895,1577,1166.9,533.2502551847653,3505.5869033965937,0.0033011446768225383,0,1,17
18,0,913.0469987513278,1577,1166.9,532.7172714214622,1597,1161.9,530.4346539245588,3502.0830684107277,0.003286999742908687,1,1,18
19,0,919.9887044882381,1597,1161.9,534.4674378724168,1598,1164.5,535.6634231882766,1321.839770608582,0.001236595231947561,0,1,19
20,0,919.0691755482197,1598,1164.5,535.1280274629509,1599,1161.9,533.9332375347398,1320.5185914276003,0.001233834263632384,1,1,20
21,0,922.2617381771221,1599,1161.9,535.7879567940005,1600,1170.1000000000001,539.5692299205252,6487.1890663380145,0.00605387726998894,0,1,21
22,0,921.3399373393639,1600,1170.1000000000001,539.0299303403949,2351,1076.4,495.86515427589535,85294.65704408228,0.07911866507136171,1,1,22
23,0,1080.7431175300608,2351,1076.4,581.6559458545025,2353,1073.1000000000001,579.872719710754,-4727.980953414295,-0.0040642419175024955,0,1,23
24,0,1079.6629145140387,2353,1073.1000000000001,579.2931367825075,3126,1184.0,639.1604453923354,-120953.07080178149,-0.10439712049203223,1,1,24
25,0,876.4304468542891,3126,1184.0,518.8468245377591,3130,1179.8,517.0063205993451,-4716.861021925137,-0.004545523648648685,0,1,25
26,0,875.5544544036602,3130,1179.8,516.4895726527191,3140,1184.0,518.3282370069396,-4712.146518155021,-0.004561705373792132,1,1,26
27,0,868.4707379080187,3140,1184.0,514.1346768415201,3143,1182.9,513.6570179356977,-1983.109506475987,-0.0019285895270269508,0,1,27
28,0,867.6027011884705,3143,1182.9,513.1436176179209,3353,1233.0,0.0,-43980.03894716026,-0.04285353791529289,1,0,28
