id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
0,0,1040.9292333629062,251,960.2,499.75012493750546,263,959.0,499.12556739751346,-2247.9907723705433,-0.0022491147677567284,0,1,0
1,0,1039.8888243340582,263,959.0,498.62669126818093,264,960.2,499.2506245627022,-2245.743905031799,-0.0022519290928049718,1,1,1
2,0,1036.2515735702216,264,960.2,497.50438047098453,268,959.4000000000001,497.08987984163537,-1823.595519168771,-0.0018327431785043727,0,1,2
3,0,1035.215839863505,268,959.4000000000001,496.59303838252333,269,960.2,497.00712471839535,-1821.7728349917363,-0.0018342714196372132,1,1,3
4,0,1032.4570030839998,269,960.2,495.68260718055507,271,960.0,495.57936148031985,-1197.753369277817,-0.001208185794626189,0,1,4
5,0,1031.425062051432,271,960.0,495.0840297846874,272,960.2,495.1871722908833,-1196.5562144859423,-0.0012084375000000769,1,1,5
6,0,1029.9646962445393,272,960.2,494.4860506669941,277,958.1,493.40458773594656,-3150.816500516537,-0.0031859508435743106,0,1,6
7,0,1028.9352462732807,277,958.1,492.9114297272151,1080,980.6,504.48695124770387,-24148.441422123724,-0.024495720697213137,1,1,7
8,0,980.7123049346562,1080,980.6,480.84324310938024,1086,980.7,480.8922787247087,-863.6642913406031,-0.0008980726086068693,0,1,8
9,0,979.7320827408187,1086,980.7,480.4116267719604,1087,980.6,480.3626401677786,-862.8010586656287,-0.0008979810339552617,1,1,9
10,0,978.952563400155,1087,980.6,479.9804418350512,1091,979.8000000000001,479.58886080973605,-1742.7313533648585,-0.001815419131144096,0,1,10
11,0,977.974100068421,1091,979.8000000000001,479.10951162351944,1627,1000.0,488.98705003419514,-20723.173383039757,-0.0216267605633802,1,1,11
12,0,937.5062062724862,1627,1000.0,468.75310313622845,1628,998.0,467.8155969299707,-2811.5811126112376,-0.0029990000000000546,0,1,12
13,0,936.5691685850577,1628,998.0,467.34801512394375,1751,991.4000000000001,464.2573368675488,5249.751160669833,0.005616533066132274,1,1,13
14,0,948.0967902408299,1751,991.4,469.9715789223143,1752,989.4000000000001,469.0234821321386,-2835.188641536026,-0.0030163405285453296,0,1,14
15,0,947.1491672620784,1752,989.4000000000001,468.5546930445503,1753,991.4000000000001,469.5018422118128,-2832.354869780515,-0.0030224378411158226,1,1,15
16,0,942.3829399727858,1753,991.4000000000001,467.13922334451036,1754,986.5,464.8303851415766,-5549.646014352717,-0.005940034294936432,0,1,16
17,0,941.441027988805,1754,986.5,464.3657870554781,1876,1004.2,472.69754015318523,-17600.569522610553,-0.0189511910795743,1,1,17
18,0,907.3290185970559,1876,1004.2,455.5699002375879,1879,1003.0,455.0255028264235,-1999.3902253805118,-0.002194383588926552,0,1,18
19,0,906.4221430162493,1879,1003.0,454.57070472264905,3353,1004.0,0.0,-1360.9928477388924,-0.0014970089730807512,1,0,19
